lfm,water_potential,mpa,year,month,year_month,plant,F.Group,spp
100.2399232,-2.973,2.973,2020,september,2020_september,18,Angiosperm,QUKE
101.8455606,-1.154,1.154,2020,september,2020_september,18,Angiosperm,QUKE
94.53897261,-3.39,3.39,2020,september,2020_september,18,Angiosperm,QUKE
97.5458632,-2.935,2.935,2020,september,2020_september,18,Angiosperm,QUKE
NA,-4.217,4.217,2020,september,2020_september,18,Angiosperm,QUKE
101.6229375,-3.691,3.691,2020,september,2020_september,18,Angiosperm,QUKE
90.83710407,-4.253,4.253,2020,september,2020_september,18,Angiosperm,QUKE
89.0256771,-4.972,4.972,2020,september,2020_september,18,Angiosperm,QUKE
86.31357505,-4.7,4.7,2020,september,2020_september,18,Angiosperm,QUKE
32.0203974,-7.9,7.9,2020,september,2020_september,18,Angiosperm,QUKE
NA,-8.6,8.6,2020,september,2020_september,18,Angiosperm,QUKE
107.4008811,-0.311,0.311,2020,october,2020_october,7,Angiosperm,CECO
104.1194645,-1.321,1.321,2020,october,2020_october,7,Angiosperm,CECO
63.10144039,-3.995,3.995,2020,october,2020_october,7,Angiosperm,CECO
70.75606277,-6.051,6.051,2020,october,2020_october,7,Angiosperm,CECO
87.86797502,-1.882,1.882,2020,october,2020_october,7,Angiosperm,CECO
109.8697487,-2.02,2.02,2020,october,2020_october,8,Gymnosperm,CADE
103.1925676,-2.601,2.601,2020,october,2020_october,8,Gymnosperm,CADE
116.8100681,-2.871,2.871,2020,october,2020_october,8,Gymnosperm,CADE
119.1984486,-1.009,1.009,2020,october,2020_october,8,Gymnosperm,CADE
111.1423915,-0.998,0.998,2020,october,2020_october,8,Gymnosperm,CADE
128.0448319,-1.127,1.127,2020,october,2020_october,8,Gymnosperm,CADE
139.6958411,-0.774,0.774,2020,october,2020_october,8,Gymnosperm,CADE
83.57766143,-4.018,4.018,2020,october,2020_october,8,Gymnosperm,CADE
83.61344538,-3.129,3.129,2020,october,2020_october,8,Gymnosperm,CADE
152.2259136,-0.309,0.309,2020,october,2020_october,5,Angiosperm,QUKE
63.02058401,-7.955,7.955,2020,october,2020_october,5,Angiosperm,QUKE
82.6048951,-5.508,5.508,2020,october,2020_october,5,Angiosperm,QUKE
124.6845858,-0.152,0.152,2020,october,2020_october,2,Angiosperm,CECO
47.8400467,-8.5,8.5,2020,october,2020_october,2,Angiosperm,CECO
69.30913722,-0.664,0.664,2020,october,2020_october,2,Angiosperm,CECO
64.94023904,-5.301,5.301,2020,october,2020_october,2,Angiosperm,CECO
74.91313412,-4.157,4.157,2020,october,2020_october,2,Angiosperm,CECO
86.71741609544594,-3.229,3.229,2020,october,2020_october,2,Angiosperm,CECO
