spp,lfm,mpa
ABCO,124.6264749,-1.125
ABCO,115.9194827,-1.125
ARPA,89.56486579,-0.75
CADE,100.9016942,-0.845
CADE,87.0188148,-0.845
CECO,109.4910508,-1.35
PIJE,106.2587628,-1.13
PIJE,100.9473234,-1.275
ABCO,124.2028867,-0.935
ABCO,117.1928733,-0.935
ARPA,96.96616994,-0.61
CADE,99.14238742,-0.915
CADE,86.64269738,-0.915
CECO,118.1413434,-0.77
PIJE,103.1629367,-1.13
PIJE,86.9029508,-1.28
ABCO,131.0974719,-1.115
ABCO,126.9409766,-1.115
ARPA,102.8200519,-0.65
CADE,86.20055574,-0.525
CADE,80.54171603,-0.525
CECO,126.2455748,-0.72
PIJE,117.2271104,-1.275
PIJE,96.03702951,-1.25
ABCO,127.7849324,-0.89
ABCO,126.7246254,-0.89
ARPA,99.30157482,-0.84
CADE,104.327026,-0.86
CADE,92.79447625,-0.86
CECO,231.7437232,-1.2
PIJE,108.9111581,-1.28
PIJE,90.27451447,-1.13
ABCO,136.6259488,-1.545
ABCO,123.9121829,-1.545
ARPA,105.057422,-2.035
CADE,102.1029459,-1.385
CADE,88.54985573,-1.385
CECO,116.4557223,-1.42
ABCO,133.7575195,-0.815
ABCO,125.9093413,-0.815
ARPA,101.8276267,-1.105
CADE,100.0605907,-1.45
CADE,92.59311159,-1.45
CECO,111.2426499,-1.33
ABCO,131.6718142,-1.57
ABCO,117.1128028,-1.57
ARPA,99.11793766,-0.995
CADE,98.14264142,-1.605
CADE,90.53058256,-1.605
CECO,107.0045262,-1.04
ABCO,118.928846,-1.56
ABCO,112.6673354,-1.56
ARPA,97.48837847,-1.09
CADE,109.1698531,-1.22
CADE,100.0194008,-1.22
CECO,120.520519,-0.755
ABCO,126.2829053,-1.48
ABCO,112.9226181,-1.48
ARPA,100.9946182,-1.47
CADE,114.4207167,-1.69
CADE,102.6315502,-1.69
CECO,113.311826,-1.365
ABCO,123.030894,-2.196666667
ARPA,104.4851847,-1.56
CADE,123.4010128,-1.7
CADE,105.1013232,-1.7
CECO,210.6060606,-2
CECO,124.3817606,-2
ABCO,107.9494106,-2.373333333
ARPA,98.69899168,-1.446666667
CADE,107.4029024,-1.515
CADE,89.61800654,-1.515
CECO,218.8643533,-1.375
CECO,146.2079836,-1.375
ABCO,104.2173392,-2.335
ARPA,113.8019256,-1.463333333
CADE,113.1719083,-1.245
CADE,99.50166347,-1.245
CECO,52.66666667,-1.245
CECO,109.1325093,-1.245
ABCO,103.6515272,-1.906666667
ARPA,105.1098608,-1.56
CADE,110.7045171,-1.68
CADE,85.32786475,-1.68
CECO,160.9414301,-1.205
ABCO,96.49160642,-1.985
ARPA,97.24467704,-1.555
CADE,117.8334592,-1.665
CADE,104.7031569,-1.665
CECO,222.7983131,-1.165
CECO,127.8960527,-1.165
ABCO,109.6013333,-1.56
ARPA,99.91100758,-0.935
CADE,88.71261156,-1.663333333
CECO,122.8754009,-1
PIJE,109.6734842,-1.77
PIJE,87.82022544,-1.77
ABCO,111.2280881,-1.725
ARPA,101.6581905,-1.19
CADE,96.20601023,-1.533333333
CADE,92.35745715,-1.533333333
CECO,232.5147348,-1.09
CECO,127.28302,-1.09
PIJE,92.5957753,-1.86
PIJE,77.02601382,-1.86
ABCO,121.9488833,-0.795
ABCO,100.5980322,-0.795
ARPA,90.43289623,-1.17
CADE,99.44937004,-1.595
CADE,85.21826065,-1.595
CECO,195.2803407,-1.72
CECO,109.6531351,-1.72
PIJE,98.84848219,-1.595
PIJE,90.36554954,-1.595
ABCO,92.64854465,-1.58
ARPA,90.79148506,-1.61
CECO,206.372674,-1.036666667
CECO,161.1894246,-1.036666667
PIJE,95.35045518,-1.49
PIJE,82.67709691,-1.49
ABCO,205.0550563,-1.825
ARPA,100.1926415,-0.92
CADE,105.9839167,-1.663333333
CADE,79.30211836,-1.663333333
CECO,125.4852052,-1.02
ABCO,117.0487395,-1.515
ABCO,111.0665112,-1.515
ARPA,92.92648693,-1.945
CADE,110.3902591,-1.355
CADE,79.61354159,-1.355
CECO,176.3513514,-1.426666667
CECO,118.8251096,-1.426666667
PIJE,108.0045563,-1.265
PIJE,88.784219,-1.265
ABCO,122.6946888,-1.4
ARPA,102.929277,-1.365
CADE,140.7070367,-1.403333333
CADE,102.0462117,-1.403333333
CECO,147.9619429,-1.36
CECO,130.1788235,-1.36
ABCO,120.7900834,-1.69
ARPA,96.71743193,-1.08
CADE,100.5789651,-1.34
CADE,101.2021842,-1.34
CECO,198.1276387,-1.045
CECO,116.8895629,-1.045
ABCO,102.1520766,-1.783333333
ARPA,99.52257084,-1.353333333
CADE,109.413074,-1.355
CADE,98.77548753,-1.355
CECO,205.3347655,-1.295
CECO,121.6524803,-1.295
ABCO,103.0953495,-1.67
ARPA,113.7156275,-1.305
CADE,126.39876,-1.365
CADE,86.5219701,-1.365
CECO,192.3656927,-1.285
CECO,155.2757299,-1.285
ABCO,101.9135875,-1.68
ARPA,102.4891347,-1.41
CADE,99.81390179,-1.483333333
CECO,233.7137187,-1.143333333
CECO,156.6139347,-1.143333333
ABCO,191.9749403,-2.17
ABCO,113.5494922,-2.17
ARPA,94.31306255,-1.786666667
CADE,86.44494266,-1.89
CECO,195.7218167,-1.743333333
CECO,134.6851769,-1.743333333
PIJE,98.08319161,-1.96
QUKE,186.6985534,-1.895
ABCO,107.0244153,-1.973333333
ARPA,200.5565863,-1.903333333
ARPA,109.684227,-1.903333333
CADE,95.18772632,-1.68
CECO,190.5731119,-1.525
CECO,118.2013665,-1.525
PIJE,86.0590638,-2.915
QUKE,128.8229489,-2.16
ABCO,129.3575352,-1.87
ARPA,85.04993917,-1.63
CADE,84.77383962,-1.54
CECO,166.1824052,-1.66
CECO,115.2661217,-1.66
PIJE,85.15040352,-2.215
QUKE,128.5107551,-2.375
ABCO,95.41994477,-2.166666667
ARPA,182.6684828,-1.74
ARPA,100.0799506,-1.74
CADE,86.20695597,-1.35
CECO,177.4143081,-1.94
CECO,121.9667606,-1.94
PIJE,78.19259337,-2.465
QUKE,98.14276514,-3.586666667
ABCO,122.65713,-2.245
ARPA,94.04321841,-1.786666667
CADE,76.30264579,-2.12
CECO,207.0404016,-1.72
CECO,147.0558298,-1.72
PIJE,90.4424476,-3.02
QUKE,221.6198325,-1.69
ABCO,105.1617966,-2.223333333
ARPA,96.18941147,-1.88
CADE,95.05588147,-1.745
CECO,120.2821429,-1.775
CECO,158.660882,-1.775
PIJE,93.12428363,-2.475
QUKE,208.8373526,-1.716666667
ABCO,134.586799,-1.725
ARPA,207.6236507,-1.7
ARPA,114.5402336,-1.7
CADE,101.9305833,-1.816666667
CECO,166.8542361,-1.97
PIJE,195.9679988,-2.05
PIJE,118.5148087,-2.05
QUKE,69.57057443,-2.9
