date,sample,fresh.weight,dry.weight,water.potential,spp,fresh.weight.saturated.excel,RWD.excel,TLP.excel,RWC.at.tlp.excel,Po,SWC,
09.11.2021,3,0.4378,0.2588,-4.232,ADFA,0.5087,28.36,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4395,0.2588,-4.312,ADFA,0.5087,27.68,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,4,0.8932,0.4657,-0.182,ADFA,0.8976,1.02,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8966,0.4657,-0.204,ADFA,0.8976,0.23,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.888,0.4657,-0.247,ADFA,0.8976,2.22,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8797,0.4657,-0.32,ADFA,0.8976,4.14,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8836,0.4657,-0.413,ADFA,0.8976,3.24,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8773,0.4657,-0.461,ADFA,0.8976,4.7,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.875,0.4657,-0.61,ADFA,0.8976,5.23,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8658,0.4657,-0.737,ADFA,0.8976,7.36,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8712,0.4657,-0.742,ADFA,0.8976,6.11,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8565,0.4657,-1.031,ADFA,0.8976,9.51,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8606,0.4657,-1.052,ADFA,0.8976,8.57,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8534,0.4657,-1.126,ADFA,0.8976,10.23,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8515,0.4657,-1.227,ADFA,0.8976,10.67,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8468,0.4657,-1.301,ADFA,0.8976,11.76,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.844,0.4657,-1.374,ADFA,0.8976,12.41,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8394,0.4657,-1.444,ADFA,0.8976,13.47,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8371,0.4657,-1.588,ADFA,0.8976,14.01,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8344,0.4657,-1.677,ADFA,0.8976,14.63,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8315,0.4657,-1.8,ADFA,0.8976,15.3,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8291,0.4657,-1.932,ADFA,0.8976,15.86,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8225,0.4657,-2.322,ADFA,0.8976,17.39,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8199,0.4657,-2.391,ADFA,0.8976,17.99,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8154,0.4657,-2.573,ADFA,0.8976,19.03,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8086,0.4657,-2.828,ADFA,0.8976,20.61,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.8036,0.4657,-3.159,ADFA,0.8976,21.76,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.7934,0.4657,-3.612,ADFA,0.8976,24.12,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.7886,0.4657,-3.618,ADFA,0.8976,25.24,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.783,0.4657,-3.873,ADFA,0.8976,26.53,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,4,0.7779,0.4657,-3.941,ADFA,0.8976,27.71,-3.203293589,78.88927227,-1.856201498,0.653910628,
09.11.2021,5,0.3519,0.1907,-0.185,ADFA,0.3521,0.1,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3506,0.1907,-0.462,ADFA,0.3521,0.91,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3461,0.1907,-0.668,ADFA,0.3521,3.7,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3399,0.1907,-0.812,ADFA,0.3521,7.54,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3377,0.1907,-1.026,ADFA,0.3521,8.9,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3351,0.1907,-1.028,ADFA,0.3521,10.51,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3345,0.1907,-1.304,ADFA,0.3521,10.89,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3327,0.1907,-1.412,ADFA,0.3521,12,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3339,0.1907,-1.426,ADFA,0.3521,11.26,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3314,0.1907,-1.63,ADFA,0.3521,12.81,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3299,0.1907,-1.746,ADFA,0.3521,13.74,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3291,0.1907,-1.763,ADFA,0.3521,14.23,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3283,0.1907,-1.983,ADFA,0.3521,14.73,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.326,0.1907,-2.213,ADFA,0.3521,16.15,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3248,0.1907,-2.372,ADFA,0.3521,16.9,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3184,0.1907,-2.545,ADFA,0.3521,20.86,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3239,0.1907,-2.554,ADFA,0.3521,17.46,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3201,0.1907,-2.598,ADFA,0.3521,19.81,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3228,0.1907,-2.725,ADFA,0.3521,18.14,-2.929,78.21,-1.982746007,0.74777463,
09.11.2021,5,0.3169,0.1907,-2.888,ADFA,0.3521,21.79,-2.929,78.21,-1.982746007,0.74777463,
