individual,year_month,dry_wt,spp,model,lfm_NAs_imputed,RWC,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample
2021_August_ABCO_1.2,2021_August,13.5207,ABCO,HP,128.5621387,78.55923617426289,1,-2.79,1.285621387,1.636499347,15.3,1,1.2
2021_August_ARPA_1.2,2021_August,7.9529,ARPA,HP,123.7781069,79.64501188839343,1,-1.96,1.237781069,1.554122524,8.8722,1,1.2
2021_August_CADE_1.2,2021_August,13.9978,CADE,HP,112.2155622,100,1,-0.37,1.122155622,1.122155622,16.0197,1,1.2
2021_August_CECO_1.2,2021_August,7.7744,CECO,HP,101.5272863,71.72637951284085,1,-1.95,1.015272863,1.4154804269999999,8.3195,1,1.2
2021_August_PIJE_1.2,2021_August,16.9479,PIJE,HP,98.68658201,66.73014006024462,1,-2.37,0.9868658200999999,1.4788906769999999,21.7116,1,1.2
2021_August_QUKE_1.2,2021_August,8.4499,QUKE,HP,37.5088968,29.216155520224145,1,-7.87,0.375088968,1.2838409480000001,8.9242,1,1.2
2021_August_ABCO_1.2,2021_August,8.1021,ABCO,HP,118.4429327,72.37578977170223,1,-3.05,1.184429327,1.636499347,9.199,1,1.2
2021_August_ARPA_1.2,2021_August,13.7016,ARPA,HP,111.3907532,71.67437025061739,1,-2.84,1.113907532,1.554122524,15.4941,1,1.2
2021_August_CADE_1.2,2021_August,9.9883,CADE,HP,65.28011102,58.17384838624461,1,-1.06,0.6528011102000001,1.122155622,11.7758,1,1.2
2021_August_PIJE_1.2,2021_August,16.6741,PIJE,HP,106.5631632,72.0561464463137,1,-2.66,1.065631632,1.4788906769999999,21.4444,1,1.2
2021_August_QUKE_1.2,2021_August,13.3177,QUKE,HP,105.0114254,81.7947313205654,1,-2.17,1.050114254,1.2838409480000001,14.6504,1,1.2
2021_August_ABCO_1.2,2021_August,8.2145,ABCO,HP,112.0822128,68.489005513792,1,-3.48,1.120822128,1.636499347,9.3815,1,1.2
2021_August_ARPA_1.2,2021_August,13.0962,ARPA,HP,153.0903328,98.50596103965866,1,-0.08,1.530903328,1.554122524,14.6418,1,1.2
2021_August_CADE_1.2,2021_August,8.5229,CADE,HP,94.04923296,83.8112211142137,1,-1.43,0.9404923296,1.122155622,9.841,1,1.2
2021_August_CECO_1.2,2021_August,8.0909,CECO,HP,45.94782609,32.460940620269,1,-8.92,0.4594782609,1.4154804269999999,8.4872,1,1.2
2021_August_PIJE_1.2,2021_August,19.2087,PIJE,HP,98.45766713,66.57535182365613,1,-2.51,0.9845766713,1.4788906769999999,26.1733,1,1.2
