full_name,lfm,mpa
Quercus kelloggii,89.0256771,-4.972
Quercus kelloggii,32.0203974,-7.9
Quercus kelloggii,35.8873555,-8.6
Quercus kelloggii,86.31357505,-4.7
Adenostoma fasciculatum,67,-0.5
Adenostoma fasciculatum,69.31818182,-0.8
Adenostoma fasciculatum,67.31707317,-0.7
Adenostoma fasciculatum,74.72766885,-0.5
Adenostoma fasciculatum,88.04733728,-0.4
Adenostoma fasciculatum,78.51162791,-0.2
Adenostoma fasciculatum,88.1062166093525,-0.3
Adenostoma fasciculatum,145.5026455,-0.6
Adenostoma fasciculatum,135.5,-0.4
Adenostoma fasciculatum,68.23734729,-0.4
Adenostoma fasciculatum,60.33898305,-0.4
Adenostoma fasciculatum,83.47169811,-0.2
Adenostoma fasciculatum,76.44628099,-0.4
Adenostoma fasciculatum,55.45722714,-0.7
Adenostoma fasciculatum,87.2222707655261,-0.5
Adenostoma fasciculatum,91.88405797,-0.5
Adenostoma fasciculatum,80.4377565,-0.6
Adenostoma fasciculatum,95.52238806,-0.4
Adenostoma fasciculatum,122.513089,-0.5
Adenostoma fasciculatum,85.8963519997865,-0.8
Adenostoma fasciculatum,112.4,-0.6
Adenostoma fasciculatum,106.3829787,-0.8
Adenostoma fasciculatum,78.15491732,-1
Adenostoma fasciculatum,74.22053232,-1.3
Adenostoma fasciculatum,88.88888889,-0.9
Adenostoma fasciculatum,135.2024922,-1
Adenostoma fasciculatum,135,-0.7
Adenostoma fasciculatum,67.05069124,-1.2
Adenostoma fasciculatum,78.21401078,-1.4
Adenostoma fasciculatum,77.69284225,-1.6
Adenostoma fasciculatum,84.5704332340469,-1.1
Adenostoma fasciculatum,49.10179641,-0.7
