spp,n,sd,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,tlp
ABCO,750,0.5090607566637178,10,ABCO_new_1_1.4,new,1.4,1,95.41994477,2021-06-16,-0.87,-0.89,NA,-2.32,-2.06,-2.12,-0.88,-2.166666667,tree,167,CZO,6,spring,267.8534393,35.62393860589118,64.37606139410882,-2.166666667,2.678534393,-2.2704244956133333
ABCO,750,0.5090607566637178,20,ABCO_old_2_2.1,old,2.1,2,215.8320152,2021-10-17,-1.32,-1.4,NA,-1.96,-1.81,NA,-1.36,-1.885,tree,290,CZO,10,fall,215.8320152,100,0,-1.885,2.158320152,-2.2704244956133333
ABCO,750,0.5090607566637178,49,ABCO_old_2_2.4,old,2.4,2,103.6515272,2021-05-14,-0.66,-0.65,NA,-1.79,-1.91,-2.02,-0.655,-1.906666667,tree,134,CZO,5,spring,NA,NA,NA,-1.906666667,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,54,ABCO_old_2_2.2,old,2.2,2,107.9494106,2021-05-14,-0.69,-0.73,NA,-2.1,-2.28,-2.74,-0.71,-2.373333333,tree,134,CZO,5,spring,212.1340251,50.8873626232815,49.1126373767185,-2.373333333,2.121340251,-2.2704244956133333
ABCO,750,0.5090607566637178,33,ABCO_new_1_1.2,new,1.2,1,NA,2021-07-30,-1.04,-0.97,NA,-2.04,-2.07,NA,-1.005,-2.055,tree,211,CZO,7,spring,NA,NA,NA,-2.055,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,110,ABCO_old_2_2.3,old,2.3,2,145.5829502,2021-08-20,-1.06,-1.1,NA,-1.98,-1.83,-1.86,-1.08,-1.89,tree,232,CZO,8,fall,212.2914377,68.57692979861524,31.42307020138476,-1.89,2.122914377,-2.2704244956133333
ABCO,750,0.5090607566637178,NA,ABCO_new_1_1.2,new,1.2,1,266.5707434,2021-07-08,-1.01,-0.99,-1.1,-2.27,-2.13,-2.01,-1.033333333,-2.136666667,tree,189,CZO,7,spring,NA,NA,NA,-2.136666667,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,NA,ABCO_new_1_1.6,new,1.6,1,228.5596409,2021-10-16,-1.15,-1.24,NA,-1.87,-1.78,NA,-1.195,-1.825,tree,289,CZO,10,fall,249.5819519,91.57699070787658,8.423009292123425,-1.825,2.495819519,-2.2704244956133333
ABCO,750,0.5090607566637178,28,ABCO_old_2_2.4,old,2.4,2,117.3838496,2021-08-20,-1.63,-1.66,NA,-1.74,-1.68,NA,-1.645,-1.71,tree,232,CZO,8,fall,NA,NA,NA,-1.71,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,12,ABCO_new_1_1.4,new,1.4,1,267.8534393,2021-07-08,-1.31,-1.24,NA,-2.22,-2.32,NA,-1.275,-2.27,tree,189,CZO,7,spring,267.8534393,100,0,-2.27,2.678534393,-2.2704244956133333
ABCO,750,0.5090607566637178,59,ABCO_new_1_1.6,new,1.6,1,147.7605512,2021-07-30,-1.73,-1.65,NA,-2.14,-2.18,NA,-1.69,-2.16,tree,211,CZO,7,spring,249.5819519,59.20321965396088,40.79678034603912,-2.16,2.495819519,-2.2704244956133333
ABCO,750,0.5090607566637178,46,ABCO_old_2_2.3,old,2.3,2,212.2914377,2021-10-17,-1.34,-1.21,NA,-1.91,-1.95,NA,-1.275,-1.93,tree,290,CZO,10,fall,212.2914377,100,0,-1.93,2.122914377,-2.2704244956133333
ABCO,750,0.5090607566637178,20,ABCO_old_2_2.1,old,2.1,2,127.2862987,2021-09-17,-1.69,-1.62,NA,-1.85,-1.92,NA,-1.655,-1.885,tree,260,CZO,9,fall,215.8320152,58.97470705726886,41.02529294273114,-1.885,2.158320152,-2.2704244956133333
