individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
2020_October_ARPA_2.3,2020_October,7.5448,ARPA,HP,102.1771109,82.51891397202698,-0.124,-0.124,1.0217711090000001,1.2382265590000001,7.8921,2,2.3
2020_October_ARPA_2.3,2020_October,12.5468,ARPA,HP,77.61262291,62.68047018203232,-0.124,-4.467,0.7761262291,1.2382265590000001,12.8862,2,2.3
2020_October_ARPA_2.3,2020_October,12.6245,ARPA,HP,61.790027317866716,49.90203680315882,-0.124,-7.407,0.6179002731786671,1.2382265590000001,13.1913,2,2.3
2020_October_ARPA_2.3,2020_October,7.829,ARPA,HP,109.7751873,88.65517097990143,-0.124,-1.262,1.097751873,1.2382265590000001,8.4882,2,2.3
2020_October_ARPA_2.3,2020_October,12.8732,ARPA,HP,47.46774194,38.33526392644595,-0.124,-5.401,0.4746774194,1.2382265590000001,13.1675,2,2.3
2020_October_ARPA_2.3,2020_October,7.6448,ARPA,HP,123.8226559,100,-0.124,-0.895,1.2382265590000001,1.2382265590000001,8.2285,2,2.3
2020_October_ARPA_2.3,2020_October,12.6948,ARPA,EPI,70.18411183,56.68115525375352,-0.124,-4.603,0.7018411183000001,1.2382265590000001,13.1065,2,2.3
2020_October_ARPA_2.3,2020_October,10.1581,ARPA,EPI,61.790027317866716,49.90203680315882,-0.124,-7.407,0.6179002731786671,1.2382265590000001,13.1913,2,2.3
2020_October_ARPA_2.3,2020_October,7.9386,ARPA,EPI,85.09040334,68.71957536488279,-0.124,-3.964,0.8509040334,1.2382265590000001,8.5504,2,2.3
2020_October_ARPA_2.3,2020_October,7.9386,ARPA,HP,85.09040334,68.71957536488279,-0.124,-3.964,0.8509040334,1.2382265590000001,8.5504,2,2.3
2020_October_ARPA_2.3,2020_October,7.6448,ARPA,EPI,123.8226559,100,-0.124,-0.895,1.2382265590000001,1.2382265590000001,8.2285,2,2.3
2020_October_ARPA_2.3,2020_October,7.5448,ARPA,EPI,102.1771109,82.51891397202698,-0.124,-0.124,1.0217711090000001,1.2382265590000001,7.8921,2,2.3
2020_October_ARPA_2.3,2020_October,12.5468,ARPA,EPI,77.61262291,62.68047018203232,-0.124,-4.467,0.7761262291,1.2382265590000001,12.8862,2,2.3
2020_October_ARPA_2.3,2020_October,7.829,ARPA,EPI,109.7751873,88.65517097990143,-0.124,-1.262,1.097751873,1.2382265590000001,8.4882,2,2.3
2020_October_ARPA_2.4,2020_October,7.6118,ARPA,HP,100.3858211,91.75985382440754,-0.046,-4.224,1.003858211,1.094005896,8.0281,2,2.4
2020_October_ARPA_2.4,2020_October,7.6118,ARPA,EPI,100.3858211,91.75985382440754,-0.046,-4.224,1.003858211,1.094005896,8.0281,2,2.4
2020_October_ARPA_2.4,2020_October,7.7544,ARPA,EPI,90.79639369,82.99442811229602,-0.046,-2.671,0.9079639369,1.094005896,8.2378,2,2.4
2020_October_ARPA_2.4,2020_October,7.5427,ARPA,HP,109.4005896,100,-0.046,-0.046,1.094005896,1.094005896,7.8767,2,2.4
2020_October_ARPA_2.4,2020_October,7.415,ARPA,HP,56.58802178,51.72551810452034,-0.046,-6.578,0.5658802178,1.094005896,7.5709,2,2.4
2020_October_ARPA_2.4,2020_October,7.6379,ARPA,HP,77.29566095,70.65378827720686,-0.046,-6.954,0.7729566095,1.094005896,7.9443,2,2.4
2020_October_ARPA_2.4,2020_October,7.7544,ARPA,HP,90.79639369,82.99442811229602,-0.046,-2.671,0.9079639369,1.094005896,8.2378,2,2.4
2020_October_ARPA_2.4,2020_October,7.6699,ARPA,HP,97.52355906,89.14354064870597,-0.046,-1.218,0.9752355906,1.094005896,8.1149,2,2.4
2020_October_ARPA_2.4,2020_October,12.6067,ARPA,EPI,85.17414789,77.8552914581367,-0.046,-4.2,0.8517414789,1.094005896,13.064,2,2.4
2020_October_ARPA_2.4,2020_October,12.7364,ARPA,HP,95.83764755,87.60249638544909,-0.046,-2.804,0.9583764755,1.094005896,13.1992,2,2.4
2020_October_ARPA_2.4,2020_October,12.6067,ARPA,HP,85.17414789,77.8552914581367,-0.046,-4.2,0.8517414789,1.094005896,13.064,2,2.4
2020_October_ARPA_2.4,2020_October,7.6379,ARPA,EPI,77.29566095,70.65378827720686,-0.046,-6.954,0.7729566095,1.094005896,7.9443,2,2.4
2020_October_ARPA_2.4,2020_October,7.415,ARPA,EPI,56.58802178,51.72551810452034,-0.046,-6.578,0.5658802178,1.094005896,7.5709,2,2.4
2020_October_ARPA_2.4,2020_October,7.6699,ARPA,EPI,97.52355906,89.14354064870597,-0.046,-1.218,0.9752355906,1.094005896,8.1149,2,2.4
2020_October_ARPA_2.4,2020_October,7.5427,ARPA,EPI,109.4005896,100,-0.046,-0.046,1.094005896,1.094005896,7.8767,2,2.4
2020_October_ARPA_2.4,2020_October,12.7364,ARPA,EPI,95.83764755,87.60249638544909,-0.046,-2.804,0.9583764755,1.094005896,13.1992,2,2.4
2020_October_ARPA_2.5,2020_October,7.6426,ARPA,HP,111.6273471,100,-0.11,-0.11,1.116273471,1.116273471,8.1063,2,2.5
2020_October_ARPA_2.5,2020_October,7.6277,ARPA,HP,110.7422338,99.20708202515367,-0.11,-2.164,1.107422338,1.116273471,8.0947,2,2.5
2020_October_ARPA_2.5,2020_October,7.5616,ARPA,EPI,95.08750384,85.18298276390732,-0.11,-3.564,0.9508750384,1.116273471,7.8713,2,2.5
2020_October_ARPA_2.5,2020_October,12.6968,ARPA,HP,79.76852882,71.4596654783351,-0.11,-4.637,0.7976852882,1.116273471,13.0552,2,2.5
2020_October_ARPA_2.5,2020_October,12.4462,ARPA,HP,79.76852882,71.4596654783351,-0.11,-4.637,0.7976852882,1.116273471,12.7065,2,2.5
2020_October_ARPA_2.5,2020_October,7.5616,ARPA,HP,95.08750384,85.18298276390732,-0.11,-3.564,0.9508750384,1.116273471,7.8713,2,2.5
2020_October_ARPA_2.5,2020_October,7.6606,ARPA,HP,99.64625249,89.26688224591875,-0.11,-1.998,0.9964625249,1.116273471,8.1113,2,2.5
2020_October_ARPA_2.5,2020_October,7.6379,ARPA,EPI,77.29566095,69.24437690054178,-0.11,-6.954,0.7729566095,1.116273471,7.9443,2,2.5
2020_October_ARPA_2.5,2020_October,12.8087,ARPA,EPI,88.04037006,78.86989375563151,-0.11,-3.725,0.8804037006000001,1.116273471,13.3321,2,2.5
2020_October_ARPA_2.5,2020_October,12.8087,ARPA,HP,88.04037006,78.86989375563151,-0.11,-3.725,0.8804037006000001,1.116273471,13.3321,2,2.5
