sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site
2,3,ADFA,EPI,-3.7,76.40181341,0,14,17,16,33,6,106,84,1,282.2,310.2,0,100,0.5015,1,2018,January,0.2096,0.3697,0.1601,St. Marys
3,3,ADFA,EPI,-2.8,69.3393332,0,4,9,42,51,1,126,83,1,282.2,303.3,0,100,0.5291,1,2018,January,0.2445,0.4139,0.1695,St. Marys
4,3,ADFA,EPI,-3.7,69.51193746,0,0,15,-3619,-3604,0,99,3718,0,273.9,0,0,100,0.4779,1,2018,January,0.2367,0.4012,0.1645,St. Marys
4,3,ADFA,EPI,-3.7,69.51193746,0,6.5,7,32,39,2,82,48,1,280.8,284.7,0,100,0,1,2018,January,0.2367,0.4012,0.1645,St. Marys
5,3,ADFA,EPI,-3.2,76.6401256,0,7,25,16,41,3,93,74,1,277.9,278.2,0,100,0.5079,1,2018,January,0.4459,0.7876,0.3417,St. Marys
6,3,ADFA,EPI,-3.9,68.6137392,0,8.5,14,21,35,9,107,77,1,277.1,299.7,0,100,0.5308,1,2018,January,0.3647,0.6149,0.2502,St. Marys
1,4,ADFA,EPI,-3.2,73.80518059,0,8,5,21,26,9,114,84,1,278.5,340.8,0,100,0.5604,1,2018,January,0.2741,0.4764,0.2023,St. Marys
2,4,ADFA,EPI,-4.8,64.80388754,0,11.5,14,10,24,13,113,90,1,277.1,320,0,100,0.5177,1,2018,January,0.2881,0.4748,0.1867,St. Marys
3,4,ADFA,EPI,-3.6,68.71265617,0,17,5,21,26,7,82,54,1,278.4,318.6,0,100,0.4907,1,2018,January,0.1841,0.3106,0.1265,St. Marys
4,4,ADFA,EPI,-4.6,69.70792768,0,0,10,-8945,-8935,0,111,9056,0,281.8,0,0,100,0.5149,1,2018,January,0.3595,0.6101,0.2506,St. Marys
4,4,ADFA,EPI,-4.6,69.70792768,Missing flam weight,12,6,22,28,5,99,72,1,279.9,354.4,0,100,0,1,2018,January,0.3595,0.6101,0.2506,St. Marys
5,4,ADFA,EPI,-5,70.48143946,0,7,9,32,41,2,117,83,1,280.9,288.9,0,100,0.5144,1,2018,January,0.3085,0.5258,0.2174,St. Marys
6,4,ADFA,EPI,-4.3,60.72889904,0,19,6,15,21,8,106,83,1,281.6,339.3,0,100,0.512,1,2018,January,0.5254,0.8445,0.3191,St. Marys
1,5,ADFA,EPI,-4.2,53.8136372,0,13,6,24,30,9,112,79,1,276.8,305.5,0,100,0.5218,1,2018,January,0.2721,0.4185,0.1464,St. Marys
2,5,ADFA,EPI,-3.2,73.24040613,0,6,16,23,39,5,98,70,1,278.7,337.4,0,100,0.5049,1,2018,January,0.2906,0.5034,0.2128,St. Marys
3,5,ADFA,EPI,-4.8,57.70266228,0,4.5,4,45,49,2,139,92,1,272.1,285.3,0,100,0.4891,1,2018,January,0.3343,0.5272,0.1929,St. Marys
4,5,ADFA,EPI,-5.6,74.15615845,0,0,13,-12221,-12208,0,132,12353,0,277.4,0,0,100,0.4856,1,2018,January,0.3926,0.6837,0.2911,St. Marys
4,5,ADFA,EPI,-5.6,74.15615845,Missing flam weight,8,3,19,22,32,212,161,1,279.7,287.9,0,100,0,1,2018,January,0.3926,0.6837,0.2911,St. Marys
5,5,ADFA,EPI,-6.3,53.58879039,0,4.5,5,50,55,4,138,84,1,281.8,302.9,0,100,0.5244,1,2018,January,0.3497,0.5371,0.1874,St. Marys
6,5,ADFA,EPI,-8.3,49.08939014,0,0,11,-19763,-19752,0,154,19917,0,280.7,0,0,100,0.5155,1,2018,January,0.2993,0.4462,0.1469,St. Marys
6,5,ADFA,EPI,-8.3,49.08939014,Missing flam weight,0,13,-20543,-20530,0,147,20690,0,282.3,0,0,100,0,1,2018,January,0.2993,0.4462,0.1469,St. Marys
6,5,ADFA,EPI,-8.3,49.08939014,Missing flam weight,17,6,20,26,6,120,94,1,279.7,319.5,0,100,0,1,2018,January,0.2993,0.4462,0.1469,St. Marys
2,6,ADFA,EPI,-6.3,58.37442922,0,13.5,5,16,21,11,119,92,1,279.6,327,0,100,0.4859,1,2018,January,0.2738,0.4336,0.1598,St. Marys
3,6,ADFA,EPI,-6.2,50.23451399,0,14,16,3,19,10,101,88,1,278.8,320.1,0,100,0.4772,1,2018,January,0.3092,0.4645,0.1553,St. Marys
4,6,ADFA,EPI,-2.7,82.34758872,0,0,8,-5113,-5105,0,80,5193,0,282.7,0,0,100,0.5537,1,2018,January,0.3297,0.6012,0.2715,St. Marys
4,6,ADFA,EPI,-2.7,82.34758872,Missing flam weight,0,12,-5360,-5348,0,76,5436,0,279.5,0,0,100,0,1,2018,January,0.3297,0.6012,0.2715,St. Marys
4,6,ADFA,EPI,-2.7,82.34758872,Missing flam weight,14.5,11,17,28,7,113,89,1,282.9,290.6,0,100,0,1,2018,January,0.3297,0.6012,0.2715,St. Marys
5,6,ADFA,EPI,-3.9,73.17423291,0,0,16,-14510,-14494,0,139,14649,0,284.9,0,0,100,0.5013,1,2018,January,0.5573,0.9651,0.4078,St. Marys
5,6,ADFA,EPI,-3.9,73.17423291,Missing flam weight,0,17,-14860,-14843,0,119,14979,0,279.9,0,0,100,0,1,2018,January,0.5573,0.9651,0.4078,St. Marys
5,6,ADFA,EPI,-3.9,73.17423291,Missing flam weight,10,16,0,16,19,112,93,1,282.1,323.1,0,100,0,1,2018,January,0.5573,0.9651,0.4078,St. Marys
6,6,ADFA,EPI,-9.6,42.32008593,0,10,11,25,36,6,177,146,1,281.3,285.4,0,100,0.4888,1,2018,January,0.2793,0.3975,0.1182,St. Marys
1,7,ADFA,EPI,-5.4,49.11491992,0,6,10,24,34,2,113,87,1,281,290.8,0,100,0.457,1,2018,January,0.1779,0.2654,0.0874,St. Marys
2,7,ADFA,EPI,-9,50.52899687,0,11,8,18,26,7,126,101,1,278.8,283.4,0,100,0.519,1,2018,January,0.5104,0.7683,0.2579,St. Marys
3,7,ADFA,EPI,-6.7,57.3281724,0,13,8,9,17,13,135,113,1,281.3,300.5,0,100,0.4908,1,2018,January,0.478,0.752,0.274,St. Marys
