date,site,pod,bottle #,spp,spp,new/old,wet weight,dry weight,bottle weight,lfm,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,LFMtlp,Mpatlp,notes
5/14/21,2,2.1,21,CADE,CADE,old,98.6795,82.3889,66.889,105.1013232,-0.57,-0.61,,-1.7,-1.7,,-0.59,-1.7,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.1,,CECO,CECO,new,12.5341,12.3117,12.2061,210.6060606,-0.59,-0.68,,-2.02,-1.98,,-0.635,-2,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.1,19,CECO,CECO,old,73.4964,69.9203,67.0452,124.3817606,-0.59,-0.68,,-2.02,-1.98,,-0.635,-2,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.2,54,ABCO,ABCO,old,91.9492,78.8816,66.7763,107.9494106,-0.69,-0.73,,-2.1,-2.28,-2.74,-0.71,-2.373333333,tree,134,CZO,165.7,-2.173,
5/14/21,2,2.2,22,ARPA,ARPA,old,78.8727,73.0388,67.128,98.69899168,-0.58,-0.56,,-1.34,-1.6,-1.4,-0.57,-1.446666667,shrub,134,CZO,108.3036245,-2.378742269,
5/14/21,2,2.2,45,CADE,CADE,new,71.7349,69.1742,66.79,107.4029024,-0.49,-0.51,,-1.5,-1.53,,-0.5,-1.515,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.2,23,CADE,CADE,old,84.2297,76.0396,66.9007,89.61800654,-0.49,-0.51,,-1.5,-1.53,,-0.5,-1.515,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.2,,CECO,CECO,new,12.6516,12.3047,12.1462,218.8643533,-0.54,-0.88,-0.57,-1.36,-1.39,,-0.663333333,-1.375,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.2,44,CECO,CECO,old,73.9646,69.9759,67.2478,146.2079836,-0.54,-0.88,-0.57,-1.36,-1.39,,-0.663333333,-1.375,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.3,34,ABCO,ABCO,old,104.1317,85.0988,66.8361,104.2173392,-0.85,-0.83,,-1.91,-2.76,,-0.84,-2.335,tree,134,CZO,165.7,-2.173,
5/14/21,2,2.3,62,ARPA,ARPA,old,81.306,73.7887,67.1831,113.8019256,-0.57,-0.53,,-1.26,-1.53,-1.6,-0.55,-1.463333333,shrub,134,CZO,108.3036245,-2.378742269,
5/14/21,2,2.3,27,CADE,CADE,new,73.9512,70.3383,67.1459,113.1719083,-0.6,-0.58,,-1.27,-1.22,,-0.59,-1.245,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.3,26,CADE,CADE,old,95.3285,81.212,67.0248,99.50166347,-0.6,-0.58,,-1.27,-1.22,,-0.59,-1.245,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.3,,CECO,CECO,new,12.4458,12.3194,12.0794,52.66666667,-0.74,-0.63,-0.6,-1.27,-1.22,,-0.656666667,-1.245,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.3,47,CECO,CECO,old,74.6454,70.7342,67.1503,109.1325093,-0.74,-0.63,-0.6,-1.27,-1.22,,-0.656666667,-1.245,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.4,49,ABCO,ABCO,old,100.3628,83.249,66.7381,103.6515272,-0.66,-0.65,,-1.79,-1.91,-2.02,-0.655,-1.906666667,tree,134,CZO,165.7,-2.173,
5/14/21,2,2.4,63,ARPA,ARPA,old,84.5184,75.6445,67.202,105.1098608,-0.47,-0.56,,-1.56,-1.66,-1.46,-0.515,-1.56,shrub,134,CZO,108.3036245,-2.378742269,
5/14/21,2,2.4,48,CADE,CADE,new,75.0107,70.8419,67.0762,110.7045171,-0.34,-0.56,-0.6,-1.71,-1.65,,-0.5,-1.68,tree,134,CZO,123.2700516,-2.626049161,"general: collected on 5/14/2021, sunny weather, AP, JC"
5/14/21,2,2.4,28,CADE,CADE,old,84.6753,76.1455,66.149,85.32786475,-0.34,-0.56,-0.6,-1.71,-1.65,,-0.5,-1.68,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.4,,CECO,CECO,new,13.1305,12.2811,12.1594,697.9457683,-0.56,-0.47,,-1.23,-1.18,,-0.515,-1.205,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.4,29,CECO,CECO,old,72.1975,69.0622,67.1141,160.9414301,-0.56,-0.47,,-1.23,-1.18,,-0.515,-1.205,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.5,32,ABCO,ABCO,old,84.3841,75.8829,67.0726,96.49160642,-0.85,-0.88,,-1.95,-2.02,,-0.865,-1.985,tree,134,CZO,165.7,-2.173,
5/14/21,2,2.5,64,ARPA,ARPA,old,79.5858,73.3424,66.9221,97.24467704,-0.83,-0.45,-0.67,-1.62,-1.49,,-0.65,-1.555,shrub,134,CZO,108.3036245,-2.378742269,
5/14/21,2,2.5,53,CADE,CADE,new,72.7842,69.9767,67.5941,117.8334592,-0.59,-0.51,,-1.69,-1.64,,-0.55,-1.665,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.5,31,CADE,CADE,old,89.3474,77.8222,66.8147,104.7031569,-0.59,-0.51,,-1.69,-1.64,,-0.55,-1.665,tree,134,CZO,123.2700516,-2.626049161,
5/14/21,2,2.5,,CECO,CECO,new,13.4238,12.5257,12.1226,222.7983131,-0.62,-0.46,,-1.13,-1.2,,-0.54,-1.165,shrub,134,CZO,350.9901204,-2.37890626,
5/14/21,2,2.5,52,CECO,CECO,old,72.9598,69.5836,66.9438,127.8960527,-0.62,-0.46,,-1.13,-1.2,,-0.54,-1.165,shrub,134,CZO,350.9901204,-2.37890626,
5/15/21,1,1.1,2,ABCO,ABCO,old,103.5551,84.5499,67.2096,109.6013333,-0.59,-0.6,,-1.67,-1.46,-1.55,-0.595,-1.56,tree,135,CZO,165.7,-2.173,
5/15/21,1,1.1,51,ARPA,ARPA,old,97.6232,82.3546,67.0724,99.91100758,-0.39,-0.44,,-0.94,-0.93,,-0.415,-0.935,shrub,135,CZO,108.3036245,-2.378742269,
5/15/21,1,1.1,3,CADE,CADE,old,95.7192,82.2599,67.0881,88.71261156,-0.57,-0.65,,-1.58,-1.81,-1.6,-0.61,-1.663333333,tree,135,CZO,123.2700516,-2.626049161,
5/15/21,1,1.1,,CECO,CECO,new,13.0436,12.3889,12.1151,239.1161432,-0.48,-0.5,,-1.02,-0.98,,-0.49,-1,shrub,135,CZO,350.9901204,-2.37890626,
5/15/21,1,1.1,37,CECO,CECO,old,76.4466,71.2357,66.9949,122.8754009,-0.48,-0.5,,-1.02,-0.98,,-0.49,-1,shrub,135,CZO,350.9901204,-2.37890626,
5/15/21,1,1.1,99,PIJE,PIJE,new,74.7035,70.478,66.6252,109.6734842,-0.81,-0.71,,-1.75,-1.79,,-0.76,-1.77,tree,135,CZO,153.68,-2.474,
5/15/21,1,1.1,100,PIJE,PIJE,old,79.3366,73.8517,67.6061,87.82022544,-0.81,-0.71,,-1.75,-1.79,,-0.76,-1.77,tree,135,CZO,153.68,-2.474,
5/15/21,1,1.1,,QUKE,QUKE,new,13.9562,12.7533,12.2516,239.7647997,0,0,,0,0,,,,tree,135,CZO,,,
5/15/21,1,1.2,5,ABCO,ABCO,old,100.3745,82.995,67.3699,111.2280881,-0.66,-0.62,,-1.74,-1.71,,-0.64,-1.725,tree,135,CZO,165.7,-2.173,
5/15/21,1,1.2,38,ARPA,ARPA,old,85.6722,76.1574,66.7978,101.6581905,-0.56,-0.59,,-1.21,-1.17,,-0.575,-1.19,shrub,135,CZO,108.3036245,-2.378742269,
5/15/21,1,1.2,55,CADE,CADE,new,80.6656,73.6289,66.3147,96.20601023,-0.56,-0.53,,-1.61,-1.5,-1.49,-0.545,-1.533333333,tree,135,CZO,123.2700516,-2.626049161,
5/15/21,1,1.2,6,CADE,CADE,old,92.303,80.2969,67.2973,92.35745715,-0.56,-0.53,,-1.61,-1.5,-1.49,-0.545,-1.533333333,tree,135,CZO,123.2700516,-2.626049161,
