sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,ttfg,gti,tti,fd,gd,pfg,start.temp,temp.start.higher,ttms
2.3,2,6,ABCO,HP,2020,September,,25,52,,1,0,276.5,222.4,300.5,277.8,gpe,10,-2.63,7.2557,8.3418,7.6414,2.8771,100,90,,181.5919108,Ê61,Ê0,Ê61,Ê10,Ê137,Ê127,271.1,231.7,63
2.3,2,7,ABCO,HP,2020,September,,22,60,,1,0,255.3,205,284.1,292.4,,10,-2.94,7.2084,8.1734,7.6227,4.5384,60,30,,132.9230027,Ê67,Ê0,Ê67,Ê34,Ê82,Ê48,260.1,219.2,70
2.3,2,8,ABCO,HP,2020,September,,23,57,,1,0,251.4,210,303.4,273.7,,10,-3.3,7.1828,9.0455,8.0372,5.2713,0,0,,118.0126404,Ê98,Ê0,Ê98,Ê20,Ê114,Ê94,271.8,221.2,106
2.5,2,1,ABCO,HP,2020,September,,23,61,26,1,1,291.3,241.9,299,271,,10,-0.58,7.2214,9.4272,7.8817,3.787,80,100,,234.0602756,Ê46,Ê55,Ê101,Ê13,Ê196,Ê128,281.2,237.8,102
2.5,2,2,ABCO,HP,2020,September,,24,58,33,2,1,252.1,223.5,261.4,265.3,2nd ignition: 9:34:48 to 9:34:52 w/ max temps of 261.9 and 266.6,10,-1.04,7.2589,9.9945,8.1155,4.8294,80,100,,219.3555919,Ê40,Ê49,Ê89,Ê15,Ê129,Ê65,248.3,225.9,91
2.5,2,3,ABCO,HP,2020,September,,26,48,50,1,1,261.2,226.2,286.4,293.1,,10,-2.27,7.2058,8.5331,7.6611,5.6705,55,100,,191.5220734,Ê69,Ê5,Ê74,Ê26,Ê114,Ê83,260,242.8,75
2.5,2,4,ABCO,HP,2020,September,,24,56,22,1,1,293.3,229.8,343.1,274.1,,10,-2.35,6.201,7.8578,6.7862,4.3274,60,100,,183.1168831,Ê49,Ê19,Ê68,Ê16,Ê303,Ê268,290.4,231.1,75
2.5,2,5,ABCO,HP,2020,September,,26,50,50,3,0,267.4,234.7,268,238.9,,10,-2.59,6.1583,8.4207,6.9599,4.1813,70,100,,182.2355289,-Ê72282,Ê72646,Ê364,Ê8,Ê72720,Ê66,267.4,225,367
2.5,2,6,ABCO,HP,2020,September,,25,51,,2,1,262.3,217.8,281.6,256.1,2nd ignition: 15:47:14 to 15:47:31 w/ max temps of 281.6 and 256.1,10,-3.04,7.2218,7.8413,7.4884,3.6364,70,80,,132.3705926,Ê36,Ê20,Ê56,Ê11,Ê146,Ê115,256.9,219.9,57
2.5,2,7,ABCO,HP,2020,September,,23,58,,1,0,240.9,201.3,267.3,239,,10,-3.01,7.2409,7.8908,7.5976,2.3349,100,100,,82.19792543,Ê61,Ê0,Ê61,Ê14,Ê75,Ê61,227.3,198.6,63
2.5,2,8,ABCO,HP,2020,September,,23,60,,1,0,243.5,203.1,262.3,233.4,,10,-3.9,7.2016,7.8878,7.6089,3.3128,75,50,,68.47532531,Ê65,Ê0,Ê65,Ê19,Ê129,Ê110,240.8,207,69
1.1,1,1,ARPA,HP,2020,September,,26,59,29,1,1,317.6,245.6,360.4,267.4,,10,-0.41,7.235,9.5636,8.1391,4.0745,,,,157.5600044,Ê109,Ê6,Ê115,Ê10,Ê118,Ê102,304.4,239.8,117
1.1,1,2,ARPA,HP,2020,September,B 0024: 6s vid,24,59,25,1,0,,,,,thermocoupler turned off for ignition and after ignition,10,-3.35,7.243,8.6972,7.9381,4.1882,,,,109.2073083,Ê81,Ê0,Ê81,Ê32,Ê124,Ê92,251.2,224.2,85
1.1,1,3,ARPA,HP,2020,September,,25,57,43,1,0,282.2,222.2,294.8,262.8,,10,-2.48,7.2399,9.502,8.1423,4.5301,,,,150.6759752,Ê67,Ê0,Ê67,Ê24,Ê167,Ê143,260.9,220.9,69
1.1,1,4,ARPA,HP,2020,September,,22,65,26,1,0,225.1,196.5,232.2,269.4,"gpe, 2nd ignition: 21:04:45 to 21:04:47",10,-2.9,7.2257,8.8212,7.9507,4.6836,,,,120.0689655,Ê80,Ê0,Ê80,Ê22,Ê327,Ê305,214.5,200,84
1.1,1,5,ARPA,HP,2020,September,,24,57,16,1,1,249.7,219.6,250.5,223.4,whole sample never fully engulfed; difficult to differentiate flame height from pilot flame!,8,-2.78,7.8254,10.1859,8.8657,3.661,,,,126.9057003,Ê92,Ê226,Ê318,Ê6,Ê315,Ê83,251.9,226.5,-34766
1.1,1,6,ARPA,HP,2020,September,,23,56,,1,0,245.3,216.7,252.2,236.8,,10,-3.72,7.2172,8.7139,7.974,4.1345,,,I doubt this was the same dryness for each sample? Video for a different species? ,97.76691332,Ê49,Ê0,Ê49,Ê26,Ê165,Ê139,243.7,221.8,49
1.1,1,7,ARPA,HP,2020,September,,25,53,,1,0,256.9,220.8,272.1,260.9,,10,-4.22,6.1535,7.265,6.7437,3.1075,,,,88.32599119,Ê89,Ê0,Ê89,Ê9,Ê131,Ê122,260,209.5,90
1.1,1,8,ARPA,HP,2020,September,,22,61,44,1,0,243.4,207.9,253.4,230.9,gpe,10,-4.63,7.2136,8.9599,8.1723,4.5958,,,,82.15291541,Ê87,Ê0,Ê87,Ê11,Ê163,Ê152,244.1,224.8,90
1.1,1,9,ARPA,HP,2020,September,,26,51,0,0,1,,,,,gpe,10,-4.63,7.2263,8.394,7.8635,3.139,,,,83.25486503,Ê85,-Ê58367,-Ê58282,Ê0,Ê329,Ê58696,267.6,236.6,-58282
1.1,1,10,ARPA,HP,2020,September,,24,60,,1,0,246.3,204.1,265.7,235.7,gpe,10,-2.16,7.2337,8.8668,8.1523,4.0795,,,,77.78140649,Ê34,Ê0,Ê34,Ê19,Ê131,Ê112,250.4,212.5,40
1.2,1,1,ARPA,HP,2020,September,,24,65,0,0,1,,,,,gpe,10,-0.18,7.1974,9.2251,8.0071,4.5202,,,,150.4260837,Ê93,-Ê43107,-Ê43014,Ê0,Ê469,Ê43576,282.3,240.5,-43014
1.2,1,2,ARPA,HP,2020,September,,26,56,15,2,0,331.5,239.2,397.9,262.3,2nd ignition: 13:30:16 to 13:30:59 w/  max temps of 350.4 and 270; flame ht for first flame (assume this is true for ALL 2 ignition stuff),10,-0.31,7.2482,9.0118,7.9144,4.704,,,,164.7253077,Ê42,Ê0,Ê42,Ê13,Ê216,Ê203,301.9,244.7,45
