date	sample	fresh.weight	dry.weight	water.potential	spp	fresh.weight.saturated	RWD	TLP	RWC.at.tlp	Po	SWC	LFM.at.tlp	timing
04.24.2021	3	2.6644		-0.493	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6602		-0.587	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6544		-0.721	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6477		-0.968	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6398		-1.151	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6319		-1.33	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.626		-1.541	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6134		-1.682	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6053		-1.892	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.5994		-1.992	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.5868		-2.129	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.5763		-2.347	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.5661		-2.398	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.5597		-2.581	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.5476		-2.8	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.533		-2.874	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	4	2.3564		-0.444	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.3409		-0.796	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.3258		-1.151	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.3147		-1.42	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.3059		-1.561	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.3014		-1.66	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2927		-1.699	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2944		-1.81	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2899		-1.821	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2872		-1.94	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2822		-1.985	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2782		-2.068	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2738		-2.281	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2626		-2.302	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2557		-2.555	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.248		-2.488	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.243		-2.598	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2333		-2.856	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	4	2.2199		-3.099	ARPA			-2.281413213		-1.597263718			spring
04.24.2021	5	2.032		-0.371	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	2.0126		-0.529	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	1.9996		-0.781	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	1.9859		-1.068	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	1.9776		-1.264	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	1.9687		-1.563	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	1.9622		-1.671	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	1.9565		-1.757	ARPA			-2.119671255		-1.473575338			spring
04.24.2021	5	1.9493		-1.892	ARPA			-2.119671255		-1.473575338			spring
